date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex,airport_code
2018-01-01,14,56,4,40,10,49,0.0,7.0,2,PHX
2018-01-02,8,46,4,38,6,42,0.0,5.4,2,PHX
2018-01-03,1,34,-3,27,-0,31,0.0,3.8,1,PHX
2018-01-04,-3,27,-6,21,-4,25,2.0,3.8,1,PHX
2018-01-05,-1,30,-9,16,-4,26,0.2,5.4,1,PHX
2018-01-06,-1,29,-3,26,-2,28,4.3,3.8,1,PHX
2018-01-07,1,33,-6,21,-2,28,0.0,8.7,2,PHX
2018-01-08,3,38,-3,27,1,34,0.0,8.7,1,PHX
2018-01-09,7,44,-2,28,3,37,0.0,8.7,2,PHX
2018-01-10,8,46,0,32,4,40,0.0,8.7,2,PHX
2018-01-11,1,35,-2,29,0,32,0.0,8.7,2,PHX
2018-01-12,3,37,-2,29,1,33,0.0,8.7,2,PHX
2018-01-13,4,38,-2,29,1,34,0.0,7.1,1,PHX
2018-01-14,7,44,-1,30,4,39,0.0,8.7,2,PHX
2018-01-15,8,46,1,33,4,40,0.0,8.7,2,PHX
2018-01-16,11,51,3,37,7,45,0.0,8.7,3,PHX
2018-01-17,12,53,3,37,8,47,0.0,8.7,3,PHX
2018-01-18,10,49,2,35,7,44,0.0,8.7,3,PHX
2018-01-19,13,56,4,39,10,50,0.0,8.7,3,PHX
2018-01-20,14,57,4,39,10,50,0.0,8.7,4,PHX
2018-01-21,13,55,6,43,9,48,0.0,7.1,2,PHX
2018-01-22,10,51,2,35,7,44,0.0,8.7,3,PHX
2018-01-23,4,39,-1,29,2,35,0.0,8.7,2,PHX
2018-01-24,-1,31,-3,27,-1,30,0.9,3.8,1,PHX
2018-01-25,-4,25,-6,21,-5,24,0.7,3.8,1,PHX
2018-01-26,-2,28,-8,18,-4,25,0.0,8.7,1,PHX
2018-01-27,-2,28,-7,20,-4,25,0.6,3.8,1,PHX
2018-01-28,0,32,-7,19,-2,28,0.0,8.7,2,PHX
2018-01-29,3,37,-4,25,-0,31,0.0,10.7,2,PHX
2018-01-30,5,41,-3,26,1,34,0.0,10.7,2,PHX
2018-01-31,6,42,-2,29,2,36,0.0,10.7,2,PHX
2018-02-01,3,38,-2,28,1,34,0.0,10.0,1,PHX
2018-02-02,3,38,-3,27,1,33,0.0,10.8,1,PHX
2018-02-03,2,36,-2,29,0,33,0.0,10.8,2,PHX
2018-02-04,4,40,-2,28,1,35,0.0,10.1,1,PHX
2018-01-01,-15,6,-21,-5,-18,1,0.0,3.3,1,SEA
2018-01-02,-11,12,-20,-3,-15,6,0.2,5.1,1,SEA
2018-01-03,-12,11,-19,-2,-15,5,0.0,8.7,2,SEA
2018-01-04,-10,15,-17,1,-13,9,0.0,8.7,2,SEA
2018-01-05,-10,15,-16,2,-13,9,0.0,8.7,2,SEA
2018-01-06,-7,20,-16,4,-11,13,0.0,8.7,2,SEA
2018-01-07,-5,22,-13,8,-8,17,0.0,5.1,1,SEA
2018-01-08,-11,12,-16,4,-13,9,0.4,3.3,1,SEA
2018-01-09,-14,7,-18,-0,-16,4,0.5,3.3,1,SEA
2018-01-10,-18,-0,-23,-9,-20,-4,0.1,6.9,1,SEA
2018-01-11,-16,3,-24,-12,-20,-4,0.0,8.7,2,SEA
2018-01-12,-14,6,-20,-4,-17,1,0.0,8.7,2,SEA
2018-01-13,-15,5,-22,-8,-17,1,0.0,8.7,1,SEA
2018-01-14,-11,13,-17,1,-13,8,0.3,3.3,1,SEA
2018-01-15,-10,13,-18,-0,-14,7,0.0,8.7,1,SEA
2018-01-16,-11,12,-16,3,-14,7,0.9,3.4,1,SEA
2018-01-17,-11,12,-17,1,-14,8,0.6,8.7,1,SEA
2018-01-18,-13,9,-20,-4,-17,2,0.0,8.7,2,SEA
2018-01-19,-11,12,-21,-6,-16,4,0.0,8.7,2,SEA
2018-01-20,-18,-0,-24,-11,-21,-5,0.0,8.7,2,SEA
2018-01-21,-19,-2,-26,-15,-22,-8,0.0,8.7,2,SEA
2018-01-22,-21,-5,-28,-18,-24,-11,0.0,8.7,2,SEA
2018-01-23,-23,-10,-28,-19,-26,-14,0.0,3.4,1,SEA
2018-01-24,-24,-10,-30,-21,-26,-15,0.0,6.9,1,SEA
2018-01-25,-23,-9,-29,-21,-26,-14,0.0,8.7,2,SEA
2018-01-26,-16,2,-28,-18,-21,-6,0.0,8.7,2,SEA
2018-01-27,-18,-0,-25,-13,-21,-6,0.0,8.7,2,SEA
2018-01-28,-18,1,-25,-13,-21,-5,0.0,5.2,1,SEA
2018-01-29,-13,8,-24,-11,-17,1,0.0,8.7,2,SEA
2018-01-30,-14,7,-21,-6,-17,1,0.0,8.7,2,SEA
2018-01-31,-13,9,-21,-7,-16,4,0.0,5.2,1,SEA
2018-02-01,-14,7,-20,-3,-17,2,0.0,7.0,1,SEA
2018-02-02,-15,5,-21,-5,-17,1,0.2,3.5,1,SEA
2018-02-03,-15,5,-22,-8,-18,-1,0.0,8.7,1,SEA
2018-02-04,-17,2,-24,-10,-19,-3,0.0,7.0,1,SEA
2018-01-01,8,46,3,38,6,43,0.0,8.7,3,SFO
2018-01-02,4,39,1,34,2,36,0.0,5.2,1,SFO
2018-01-03,1,33,-1,30,-0,32,0.0,7.0,1,SFO
2018-01-04,0,33,-1,30,-1,31,0.0,3.5,1,SFO
2018-01-05,2,35,0,32,1,34,0.0,8.7,2,SFO
2018-01-06,3,37,1,34,2,36,0.0,7.0,1,SFO
2018-01-07,4,39,2,36,3,37,0.2,3.5,1,SFO
2018-01-08,2,36,-1,30,1,33,0.1,3.5,1,SFO
2018-01-09,1,34,-2,29,-0,32,0.0,7.0,1,SFO
2018-01-10,-4,25,-5,22,-5,24,0.0,3.5,1,SFO
2018-01-11,-5,22,-7,19,-6,21,0.0,3.5,1,SFO
2018-01-12,-0,32,-4,24,-2,29,0.1,8.7,2,SFO
2018-01-13,3,38,-0,32,2,36,0.0,8.7,2,SFO
2018-01-14,5,42,3,37,4,39,0.0,7.0,1,SFO
2018-01-15,5,40,3,37,4,38,0.0,8.7,2,SFO
2018-01-16,4,39,3,38,4,39,0.0,3.6,1,SFO
2018-01-17,4,39,2,36,3,38,0.0,8.7,2,SFO
2018-01-18,4,39,2,36,3,38,0.0,3.6,1,SFO
2018-01-19,5,42,2,36,4,40,0.0,8.7,1,SFO
2018-01-20,4,39,3,37,3,38,0.0,8.7,2,SFO
2018-01-21,4,39,2,36,3,37,0.4,5.4,1,SFO
2018-01-22,2,35,-5,24,-3,27,3.6,3.8,1,SFO
2018-01-23,-6,22,-7,19,-7,20,1.2,3.8,1,SFO
2018-01-24,-6,21,-7,19,-7,20,0.9,3.8,1,SFO
2018-01-25,-6,21,-8,17,-7,19,0.3,3.8,1,SFO
2018-01-26,-6,22,-9,16,-7,19,0.0,7.1,1,SFO
2018-01-27,-3,27,-5,24,-3,26,0.6,7.1,1,SFO
2018-01-28,-3,26,-4,25,-3,26,3.1,3.9,1,SFO
2018-01-29,-2,28,-4,25,-3,27,0.1,5.5,1,SFO
2018-01-30,2,36,-2,29,0,33,0.0,8.7,1,SFO
2018-01-31,1,34,1,33,1,33,0.0,8.7,2,SFO
2018-02-01,5,41,1,33,2,36,0.0,8.7,2,SFO
2018-02-02,0,33,-3,26,-2,29,0.0,5.6,1,SFO
2018-02-03,-4,25,-6,22,-5,23,0.1,4.0,1,SFO
2018-02-04,-2,28,-5,23,-4,25,0.3,4.0,1,SFO
