origin,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,dep_delay,arr_delay
ABE,4.718349928876244,0.0,11.2275960170697,0.0,18.810099573257467,27.72475106685633,34.75604551920341
ABI,6.963562753036437,0.0,8.143724696356275,0.0,17.07085020242915,27.06477732793522,32.178137651821864
ABQ,6.091155810983397,0.0,8.137771392081737,0.0,19.42161558109834,31.173850574712645,33.65054278416348
ABR,4.04,0.0,9.46,0.0,19.21,27.29,32.71
ABY,2.2736842105263158,0.0,10.01578947368421,0.0,25.46842105263158,32.17368421052632,37.757894736842104
ACK,4.9213197969543145,0.0,15.365482233502538,0.0,19.78680203045685,31.890862944162436,40.0736040609137
ACT,3.568877551020408,0.0,8.535714285714286,0.0,19.57908163265306,26.193877551020407,31.683673469387756
ACV,2.002421307506053,0.0,12.634382566585957,0.0,21.949152542372882,31.0,36.58595641646489
ACY,3.54820415879017,0.0,18.37429111531191,0.0,9.281663516068052,20.746691871455578,31.204158790170133
ADK,14.5,0.0,4.5,0.0,7.375,25.0,26.375
ADQ,5.40650406504065,0.0,3.902439024390244,0.0,20.8130081300813,28.178861788617887,30.121951219512194
AEX,2.214012738853503,0.0,13.977070063694267,0.0,16.74904458598726,20.797452229299363,32.94012738853503
AGS,4.6394389438943895,0.0,8.083333333333334,0.0,21.306105610561055,32.448019801980195,34.02887788778878
AKN,6.833333333333333,0.0,11.666666666666666,0.0,7.666666666666667,18.5,26.166666666666668
ALB,6.0,0.0,12.193952802359883,0.0,16.47959685349066,27.81637168141593,34.67354965585054
ALO,4.72289156626506,0.0,12.313253012048193,0.0,18.096385542168676,25.63855421686747,35.13253012048193
ALW,0.4681818181818182,0.0,15.127272727272727,0.0,16.34090909090909,27.62727272727273,31.936363636363637
AMA,3.6624257845631893,0.0,10.173876166242579,0.0,22.133163698049195,30.63952502120441,35.969465648854964
ANC,7.248674130819093,0.0,11.705951679434296,0.0,11.039481437831467,20.451679434295816,30.01620506776665
APN,2.4177215189873418,0.0,8.329113924050633,0.0,25.873417721518987,31.531645569620252,36.620253164556964
ART,8.455357142857142,0.0,11.571428571428571,0.0,14.125,28.214285714285715,34.151785714285715
ASE,4.472172351885098,0.0,11.16098144823459,0.0,23.289646918013165,31.711549970077797,38.922800718132855
ATL,10.49649439222197,0.0,8.747273747954564,0.0,12.925599894891487,29.98925026575732,32.169368035068025
ATW,4.644953471725125,0.0,12.126700071581961,0.0,17.10307802433787,25.44738725841088,33.87473156764495
ATY,1.391304347826087,0.0,12.826086956521738,0.0,22.043478260869566,28.847826086956523,36.26086956521739
AUS,6.800303145130731,0.0,10.119994947581155,0.0,16.507578628268284,29.993621321207527,33.427876720980166
AVL,3.479185119574845,0.0,11.030115146147033,0.0,21.07351638618246,29.99955713020372,35.58281665190434
AVP,4.952079566003617,0.0,11.708860759493671,0.0,18.96383363471971,29.309222423146473,35.624773960217
AZA,9.832605531295487,0.0,8.21688500727802,0.0,13.975982532751091,29.531295487627364,32.0254730713246
AZO,2.809264305177112,0.0,11.889645776566757,0.0,19.21525885558583,25.122615803814714,33.9141689373297
BDL,6.426832978399757,0.0,11.417401886218435,0.0,16.89914815941588,28.770611499847885,34.743383024034074
BET,5.28125,0.0,7.739583333333333,0.0,21.15625,29.552083333333332,34.177083333333336
BFF,1.469387755102041,0.0,16.663265306122447,0.0,14.428571428571429,14.928571428571429,32.56122448979592
BFL,5.100543478260869,0.0,9.682065217391305,0.0,21.23913043478261,32.09239130434783,36.02173913043478
BFM,0.8928571428571429,0.0,24.178571428571427,0.0,10.035714285714286,10.428571428571429,35.107142857142854
BGM,2.672727272727273,0.0,7.406060606060606,0.0,25.254545454545454,33.03030303030303,35.333333333333336
BGR,3.566225165562914,0.0,15.856291390728478,0.0,18.210596026490066,30.31523178807947,37.63311258278146
BHM,5.049844236760125,0.0,9.87871235721703,0.0,20.450051921079957,31.080789200415367,35.37860851505711
BIL,2.921860465116279,0.0,12.090232558139535,0.0,19.544186046511626,26.96558139534884,34.55627906976744
BIS,5.236269430051814,0.0,11.394818652849741,0.0,20.60621761658031,30.10259067357513,37.237305699481865
BJI,3.3118279569892475,0.0,10.32258064516129,0.0,22.268817204301076,29.150537634408604,35.903225806451616
BKG,2.0,0.0,18.93877551020408,0.0,22.571428571428573,35.61224489795919,43.51020408163265
BLI,2.8081048867699643,0.0,15.181168057210966,0.0,12.709177592371871,23.55661501787843,30.6984505363528
BLV,5.723529411764706,0.0,6.791176470588235,0.0,22.923529411764704,32.044117647058826,35.438235294117646
BMI,4.491228070175438,0.0,11.833333333333334,0.0,19.814327485380115,27.61111111111111,36.138888888888886
BNA,6.906436175407754,0.0,9.1415665592343,0.0,17.961422013868543,31.75988866100205,34.0094247485106
BOI,4.628981886321049,0.0,12.564855298771601,0.0,14.826983135540287,24.87049760566313,32.02602540079117
BOS,8.493574656373564,0.0,12.059663905102617,0.0,15.604547166258708,31.298295989455845,36.15778572773489
BPT,2.7513513513513512,0.0,11.394594594594595,0.0,18.594594594594593,23.994594594594595,32.74054054054054
BQK,2.1243243243243244,0.0,12.016216216216216,0.0,21.805405405405406,26.691891891891892,35.945945945945944
BQN,4.195290858725762,0.0,5.578947368421052,0.0,28.70775623268698,41.473684210526315,38.48199445983379
BRD,1.4067796610169492,0.0,13.432203389830509,0.0,14.957627118644067,19.050847457627118,29.796610169491526
BRO,2.930521091811414,0.0,10.037220843672456,0.0,21.774193548387096,27.950372208436725,34.74193548387097
BRW,3.0869565217391304,0.0,6.811594202898551,0.0,20.420289855072465,24.55072463768116,30.318840579710145
BTM,2.4838709677419355,0.0,12.080645161290322,0.0,19.806451612903224,24.822580645161292,34.37096774193548
BTR,5.124481327800829,0.0,11.70776526378186,0.0,16.63248369887374,24.39359810314167,33.46473029045643
BTV,4.686042464323007,0.0,14.550643926209537,0.0,16.166724678036896,27.896623738252696,35.40341106856944
BUF,4.5103634725142685,0.0,12.697957344547913,0.0,18.987533793932112,31.21357765094623,36.195854610994296
