op_unique_carrier,month,sumOfDelays
9E,01,0.7216679457661807
9E,02,2.0806365258774537
9E,03,2.470168087233941
9E,04,4.408099215388509
9E,05,-0.9812340414983018
9E,06,6.39217325041174
9E,07,3.0167065021218478
9E,08,3.758316032295271
9E,09,-3.9295384615384616
9E,10,0.7393948274598872
9E,11,0.8341235891357006
9E,12,-0.6808100059559261
9K,01,-8.348214285714286
9K,02,-8.534201954397394
9K,03,-0.5405405405405406
9K,04,-3.6452599388379205
9K,05,-9.294117647058824
AA,01,4.314574025147663
AA,02,8.748375427078448
AA,03,6.432407063378767
AA,04,6.764468529012801
AA,05,13.191475204769414
AA,06,18.32686466872732
AA,07,15.925006248931103
AA,08,14.13346601846716
AA,09,4.818804538414829
AA,10,8.046779824088098
AA,11,4.773760400459988
AA,12,7.511919224105311
AS,01,-5.5489111747851005
AS,02,4.752201178184582
AS,03,-1.0536470205144903
AS,04,-0.9654274212645039
AS,05,1.920133712788544
AS,06,2.7199655423762508
AS,07,1.093981325706595
AS,08,8.85575613447195
AS,09,-0.43897835332345775
AS,10,0.6978830031380263
AS,11,-0.7544316996871742
AS,12,5.858125516503816
AX,01,14.935892167337881
AX,02,22.864929540015954
AX,03,8.622589531680442
AX,04,4.412632229171493
AX,05,11.362730598583326
AX,06,23.885464011238742
AX,07,20.47871235721703
AX,08,15.255819384974698
AX,09,5.2742435671779395
AX,10,7.786422324031654
AX,11,9.966043529305518
AX,12,6.2513747708715215
B6,01,16.311280515473275
B6,02,14.429072339624417
B6,03,17.616664977192094
B6,04,16.431248277762467
B6,05,12.18463352572457
B6,06,15.269970318750806
B6,07,16.28252937932205
B6,08,18.137534399724803
B6,09,1.1715066472922857
B6,10,4.824562881820097
B6,11,11.772929405225126
B6,12,17.193410944459984
C5,01,23.67331589274035
C5,02,20.41249371964495
C5,03,16.923992800775302
C5,04,14.900582362728786
C5,05,14.870706291007332
C5,06,18.689927259277525
C5,07,12.971081877976866
C5,08,23.170455843710727
C5,09,12.744170478634386
C5,10,18.436771400022206
C5,11,26.23037435833229
C5,12,24.259632115336814
CP,01,1.789544235924933
CP,02,8.08490636424681
CP,03,7.9817970802027975
CP,04,1.832888944006945
CP,05,3.467259401658056
CP,06,5.958112902221946
CP,07,5.0331391114348145
CP,08,11.06372312152694
CP,09,1.9642184557438795
CP,10,5.924114099871265
CP,11,3.8962709284627093
CP,12,8.296190547749642
DL,01,-2.1672080500093838
DL,02,0.46513395696622767
DL,03,-0.6324583811533573
DL,04,0.23062978810627996
DL,05,1.9755063357355176
DL,06,7.717009203302615
DL,07,5.199330062836305
DL,08,4.366932386826487
DL,09,-2.5069480020491803
DL,10,-0.7249634613294037
DL,11,0.9324445432958062
DL,12,-0.3337122994093356
EM,01,-2.151432469304229
EM,02,8.347012239020879
EM,03,7.989396951623592
EM,04,4.903930131004367
EM,05,5.698762035763411
EM,06,5.971509971509971
EM,07,6.875780707841777
EM,08,5.222903885480573
EM,09,3.9723991507430996
EM,10,7.944444444444445
EM,11,3.2512280701754386
EM,12,4.61711079943899
EV,01,6.485864431583849
EV,02,7.850993741078291
EV,03,3.5113161398185704
EV,04,3.336132277872309
EV,05,1.675994896909338
EV,06,11.576333817728877
EV,07,9.50378403682609
EV,08,10.555770177631329
EV,09,7.248973080757727
EV,10,9.110747837602947
EV,11,6.650817484150817
EV,12,9.685609851616553
F9,01,10.43290115248227
F9,02,10.81250764900257
F9,03,5.319794456896081
F9,04,7.536050328227571
F9,05,19.593626296537554
F9,06,26.932809149392423
F9,07,26.30086190566395
F9,08,22.347291334147027
F9,09,11.107969030308753
F9,10,15.69662406669415
F9,11,11.433165015243903
F9,12,11.461098942957813
G4,01,10.56758433501357
G4,02,7.917552406259227
G4,03,3.1877229409572485
G4,04,5.643318250377074
G4,05,9.115167668753486
G4,06,16.757925666271458
G4,07,13.434264504786091
G4,08,8.650063211125158
G4,09,0.15993845039826213
G4,10,2.7180297023049524
G4,11,6.192267088941673
G4,12,10.545454545454545
G7,01,5.729182128543862
G7,02,7.836233787555409
G7,03,1.6098073555166375
G7,04,-1.6301419466975666
G7,05,2.8101302460202606
G7,06,11.868062906396492
G7,07,3.2655816395409887
G7,08,6.853191332002071
G7,09,-2.975255206206615
G7,10,-0.36375300721732157
G7,11,4.627342704149933
G7,12,5.008727388130752
HA,01,2.615494654419515
HA,02,11.202869198312236
HA,03,5.013418389793225
HA,04,1.1626928471248248
HA,05,0.35287899076749596
HA,06,0.2331147083449623
HA,07,0.15705982905982907
HA,08,-1.2630048028140433
HA,09,-2.2271466121495327
HA,10,3.5647017045454548
HA,11,-1.5389269572824027
HA,12,2.6095191840699368
KS,01,24.344086021505376
KS,02,34.567961165048544
KS,03,23.47457627118644
KS,04,3.892
KS,05,20.640625
KS,06,24.84431137724551
KS,07,26.806569343065693
KS,08,49.6496062992126
KS,09,31.701818181818183
KS,10,10.96551724137931
KS,11,3.6363636363636362
KS,12,30.00735294117647
MQ,01,12.158590891054187
MQ,02,15.339494186743378
MQ,03,2.9029841656516444
MQ,04,3.9448969517462666
MQ,05,8.910043753038405
MQ,06,16.389864997065153
MQ,07,10.718656575212867
MQ,08,9.336169816590633
MQ,09,3.613220143082043
MQ,10,4.998742042465596
MQ,11,4.096147206369194
MQ,12,9.213336483373693
NK,01,-2.277149647126602
NK,02,2.2678778199241365
NK,03,-2.270749135115911
NK,04,0.10240451654593069
NK,05,6.427504707486527
NK,06,9.69849130862578
NK,07,10.100671979996875
NK,08,12.201412981770012
NK,09,-3.2091343708676634
NK,10,-2.4688122657120664
NK,11,0.3296360147025339
NK,12,1.932526288459042
OH,01,9.325531054497015
OH,02,13.405172413793103
OH,03,8.955955630659908
OH,04,10.696245200464327
OH,05,9.18532994593186
OH,06,14.406854052136904
OH,07,11.381838521610051
OH,08,12.359104561464163
OH,09,2.286963700051315
OH,10,3.8918394334954356
OH,11,6.264211494871968
OH,12,10.296693850562045
OO,01,6.396650619686572
OO,02,8.56610197795673
OO,03,2.858808209834439
OO,04,0.686200692699706
OO,05,3.63836850112957
OO,06,8.03763370677806
OO,07,5.789475239551704
OO,08,6.427126640988488
OO,09,-0.7371552663606787
OO,10,1.5262586643112714
OO,11,1.7999871296765526
OO,12,4.60163793304018
PT,01,2.756543306572678
PT,02,5.096539412249382
PT,03,0.7835104267287915
PT,04,3.9681547443533645
PT,05,6.499884858952217
PT,06,8.130669787139196
PT,07,8.532572834535593
PT,08,10.545414266725743
PT,09,2.4037418042052905
PT,10,5.61563721657545
PT,11,4.211003693243537
PT,12,10.921623009758603
QX,01,1.9339811066126855
QX,02,11.669568485000314
QX,03,3.86475935828877
QX,04,1.1409858853721129
QX,05,-1.333891680625349
QX,06,3.634268286585671
QX,07,1.9128276125459494
QX,08,10.845931823836775
QX,09,3.306162162162162
QX,10,6.394883842338815
QX,11,7.790494414563509
QX,12,15.441352760586716
UA,01,0.725671429554368
UA,02,3.0707027266136664
UA,03,2.8701647149009997
UA,04,3.1087928005670786
UA,05,7.5717131673524145
UA,06,14.886754578608977
UA,07,11.917556742323097
UA,08,13.294152886471478
UA,09,2.1673706494366467
UA,10,3.895826289492468
UA,11,5.050437631161386
UA,12,7.182092329080798
VX,01,-2.8061889250814334
VX,02,0.8039822153489271
VX,03,11.734867025615925
WN,01,7.418552289318379
WN,02,16.02162420148322
WN,03,12.03749186091939
WN,04,13.880476156276933
