dep_time,distance,actual_elapsed_time,flight_class_distance,flight_class_time,hour,minute,second
09:59:00,4983.0,634.0,long,long,09,59,00
09:54:00,3302.0,432.0,long,long,09,54,00
09:08:00,4475.0,567.0,long,long,09,08,00
09:53:00,3904.0,519.0,long,long,09,53,00
09:59:00,4983.0,659.0,long,long,09,59,00
09:54:00,4983.0,698.0,long,long,09,54,00
09:10:00,3784.0,501.0,long,long,09,10,00
09:57:00,4983.0,717.0,long,long,09,57,00
09:34:00,3414.0,459.0,long,long,09,34,00
09:52:00,3302.0,463.0,long,long,09,52,00
09:16:00,5095.0,669.0,long,long,09,16,00
09:15:00,3784.0,497.0,long,long,09,15,00
09:30:00,3784.0,495.0,long,long,09,30,00
09:59:00,4243.0,568.0,long,long,09,59,00
09:54:00,4983.0,656.0,long,long,09,54,00
09:52:00,4983.0,634.0,long,long,09,52,00
09:15:00,5095.0,621.0,long,long,09,15,00
09:40:00,3365.0,418.0,long,long,09,40,00
09:55:00,4983.0,676.0,long,long,09,55,00
09:34:00,3711.0,570.0,long,long,09,34,00
09:29:00,3414.0,463.0,long,long,09,29,00
09:58:00,3365.0,435.0,long,long,09,58,00
09:58:00,3904.0,503.0,long,long,09,58,00
09:13:00,5095.0,648.0,long,long,09,13,00
09:57:00,4983.0,625.0,long,long,09,57,00
09:30:00,3414.0,460.0,long,long,09,30,00
09:07:00,3711.0,455.0,long,long,09,07,00
09:59:00,3329.0,508.0,long,long,09,59,00
09:33:00,3784.0,500.0,long,long,09,33,00
09:20:00,3784.0,490.0,long,long,09,20,00
09:48:00,3329.0,422.0,long,long,09,48,00
09:34:00,3784.0,482.0,long,long,09,34,00
09:55:00,4983.0,691.0,long,long,09,55,00
09:45:00,3904.0,496.0,long,long,09,45,00
09:47:00,3904.0,502.0,long,long,09,47,00
09:10:00,3784.0,497.0,long,long,09,10,00
09:58:00,4983.0,712.0,long,long,09,58,00
09:55:00,3370.0,475.0,long,long,09,55,00
09:47:00,4962.0,613.0,long,long,09,47,00
09:15:00,3784.0,488.0,long,long,09,15,00
09:02:00,3711.0,473.0,long,long,09,02,00
09:28:00,3784.0,486.0,long,long,09,28,00
09:51:00,4983.0,685.0,long,long,09,51,00
09:12:00,3784.0,471.0,long,long,09,12,00
09:46:00,3904.0,494.0,long,long,09,46,00
09:36:00,4243.0,558.0,long,long,09,36,00
09:18:00,4817.0,589.0,long,long,09,18,00
09:25:00,4962.0,626.0,long,long,09,25,00
09:05:00,3784.0,504.0,long,long,09,05,00
09:33:00,3414.0,465.0,long,long,09,33,00
09:12:00,3711.0,455.0,long,long,09,12,00
09:31:00,3414.0,440.0,long,long,09,31,00
09:17:00,5095.0,705.0,long,long,09,17,00
09:53:00,3365.0,406.0,long,long,09,53,00
09:48:00,3365.0,429.0,long,long,09,48,00
09:11:00,3784.0,493.0,long,long,09,11,00
09:14:00,3711.0,479.0,long,long,09,14,00
09:48:00,3904.0,528.0,long,long,09,48,00
09:53:00,4983.0,641.0,long,long,09,53,00
09:30:00,4243.0,541.0,long,long,09,30,00
09:05:00,3784.0,489.0,long,long,09,05,00
09:13:00,5095.0,698.0,long,long,09,13,00
09:47:00,3904.0,511.0,long,long,09,47,00
09:50:00,4983.0,640.0,long,long,09,50,00
09:54:00,4983.0,619.0,long,long,09,54,00
09:12:00,3784.0,483.0,long,long,09,12,00
09:55:00,3904.0,512.0,long,long,09,55,00
09:44:00,4184.0,548.0,long,long,09,44,00
09:02:00,3711.0,521.0,long,long,09,02,00
09:45:00,3904.0,515.0,long,long,09,45,00
09:56:00,3904.0,503.0,long,long,09,56,00
09:07:00,3784.0,511.0,long,long,09,07,00
09:55:00,4983.0,635.0,long,long,09,55,00
09:42:00,3329.0,434.0,long,long,09,42,00
09:59:00,3365.0,457.0,long,long,09,59,00
09:29:00,3414.0,425.0,long,long,09,29,00
09:22:00,5095.0,659.0,long,long,09,22,00
09:01:00,3784.0,537.0,long,long,09,01,00
09:13:00,3784.0,497.0,long,long,09,13,00
09:58:00,3414.0,458.0,long,long,09,58,00
09:51:00,4983.0,673.0,long,long,09,51,00
09:49:00,4983.0,671.0,long,long,09,49,00
09:54:00,3711.0,505.0,long,long,09,54,00
09:32:00,3414.0,474.0,long,long,09,32,00
09:56:00,4243.0,568.0,long,long,09,56,00
09:53:00,3904.0,518.0,long,long,09,53,00
09:09:00,4962.0,671.0,long,long,09,09,00
09:50:00,3302.0,436.0,long,long,09,50,00
09:36:00,3414.0,451.0,long,long,09,36,00
09:20:00,3784.0,512.0,long,long,09,20,00
09:27:00,3414.0,463.0,long,long,09,27,00
09:35:00,5095.0,669.0,long,long,09,35,00
09:42:00,3302.0,411.0,long,long,09,42,00
09:10:00,3784.0,494.0,long,long,09,10,00
09:39:00,3414.0,447.0,long,long,09,39,00
09:57:00,3904.0,514.0,long,long,09,57,00
09:15:00,3784.0,475.0,long,long,09,15,00
09:09:00,3711.0,474.0,long,long,09,09,00
09:55:00,4983.0,679.0,long,long,09,55,00
09:10:00,3711.0,523.0,long,long,09,10,00
09:34:00,3784.0,508.0,long,long,09,34,00
09:52:00,3904.0,515.0,long,long,09,52,00
09:27:00,3365.0,431.0,long,long,09,27,00
09:57:00,4983.0,645.0,long,long,09,57,00
09:53:00,4983.0,681.0,long,long,09,53,00
09:34:00,3365.0,436.0,long,long,09,34,00
09:47:00,3711.0,513.0,long,long,09,47,00
09:29:00,3784.0,502.0,long,long,09,29,00
09:12:00,3784.0,517.0,long,long,09,12,00
09:55:00,3904.0,502.0,long,long,09,55,00
09:54:00,4983.0,720.0,long,long,09,54,00
09:40:00,3302.0,422.0,long,long,09,40,00
09:58:00,4983.0,651.0,long,long,09,58,00
09:52:00,3904.0,509.0,long,long,09,52,00
09:07:00,3711.0,503.0,long,long,09,07,00
09:39:00,3365.0,423.0,long,long,09,39,00
09:57:00,4983.0,653.0,long,long,09,57,00
09:55:00,4983.0,688.0,long,long,09,55,00
09:58:00,4983.0,645.0,long,long,09,58,00
09:05:00,3784.0,484.0,long,long,09,05,00
09:22:00,3711.0,537.0,long,long,09,22,00
09:57:00,4983.0,633.0,long,long,09,57,00
09:55:00,4983.0,660.0,long,long,09,55,00
09:58:00,4983.0,674.0,long,long,09,58,00
09:45:00,3329.0,461.0,long,long,09,45,00
09:20:00,5095.0,628.0,long,long,09,20,00
09:20:00,3784.0,508.0,long,long,09,20,00
09:13:00,3784.0,497.0,long,long,09,13,00
09:42:00,3904.0,512.0,long,long,09,42,00
09:40:00,3904.0,532.0,long,long,09,40,00
09:32:00,3414.0,446.0,long,long,09,32,00
09:59:00,3302.0,406.0,long,long,09,59,00
09:16:00,3711.0,491.0,long,long,09,16,00
09:34:00,3414.0,450.0,long,long,09,34,00
09:11:00,3711.0,506.0,long,long,09,11,00
09:48:00,3329.0,445.0,long,long,09,48,00
09:52:00,3365.0,442.0,long,long,09,52,00
09:47:00,3302.0,409.0,long,long,09,47,00
09:50:00,3784.0,537.0,long,long,09,50,00
09:09:00,3784.0,496.0,long,long,09,09,00
09:09:00,3784.0,478.0,long,long,09,09,00
09:12:00,3784.0,476.0,long,long,09,12,00
09:22:00,3711.0,508.0,long,long,09,22,00
09:56:00,4983.0,650.0,long,long,09,56,00
09:42:00,3302.0,415.0,long,long,09,42,00
09:59:00,4983.0,645.0,long,long,09,59,00
09:03:00,3784.0,494.0,long,long,09,03,00
09:41:00,3365.0,437.0,long,long,09,41,00
09:51:00,4983.0,668.0,long,long,09,51,00
09:54:00,3904.0,512.0,long,long,09,54,00
09:27:00,3784.0,493.0,long,long,09,27,00
09:30:00,4243.0,532.0,long,long,09,30,00
09:57:00,4983.0,663.0,long,long,09,57,00
09:52:00,3904.0,517.0,long,long,09,52,00
09:51:00,4983.0,657.0,long,long,09,51,00
09:40:00,3784.0,474.0,long,long,09,40,00
09:25:00,3784.0,465.0,long,long,09,25,00
09:32:00,3365.0,425.0,long,long,09,32,00
09:59:00,4983.0,674.0,long,long,09,59,00
09:34:00,4817.0,678.0,long,long,09,34,00
09:40:00,3329.0,411.0,long,long,09,40,00
09:59:00,4983.0,664.0,long,long,09,59,00
09:34:00,3904.0,569.0,long,long,09,34,00
09:48:00,3904.0,507.0,long,long,09,48,00
09:40:00,3904.0,541.0,long,long,09,40,00
09:52:00,4983.0,660.0,long,long,09,52,00
09:56:00,4983.0,656.0,long,long,09,56,00
09:22:00,3365.0,418.0,long,long,09,22,00
09:18:00,3711.0,465.0,long,long,09,18,00
09:39:00,3365.0,443.0,long,long,09,39,00
09:53:00,3904.0,533.0,long,long,09,53,00
09:29:00,4962.0,604.0,long,long,09,29,00
09:54:00,4983.0,662.0,long,long,09,54,00
09:13:00,4817.0,643.0,long,long,09,13,00
09:55:00,3904.0,499.0,long,long,09,55,00
09:10:00,3711.0,484.0,long,long,09,10,00
09:12:00,3784.0,506.0,long,long,09,12,00
09:04:00,3711.0,466.0,long,long,09,04,00
09:15:00,3784.0,475.0,long,long,09,15,00
09:56:00,3329.0,430.0,long,long,09,56,00
09:17:00,3784.0,518.0,long,long,09,17,00
09:50:00,3302.0,421.0,long,long,09,50,00
09:17:00,3784.0,529.0,long,long,09,17,00
09:52:00,3302.0,447.0,long,long,09,52,00
09:43:00,3414.0,448.0,long,long,09,43,00
09:48:00,3414.0,430.0,long,long,09,48,00
09:25:00,3711.0,467.0,long,long,09,25,00
09:38:00,3302.0,392.0,long,long,09,38,00
09:59:00,3302.0,428.0,long,long,09,59,00
09:53:00,3365.0,444.0,long,long,09,53,00
09:53:00,4983.0,676.0,long,long,09,53,00
09:44:00,3302.0,426.0,long,long,09,44,00
09:18:00,3784.0,493.0,long,long,09,18,00
09:56:00,4983.0,632.0,long,long,09,56,00
09:11:00,3711.0,477.0,long,long,09,11,00
09:23:00,3784.0,525.0,long,long,09,23,00
09:29:00,4817.0,590.0,long,long,09,29,00
09:25:00,3365.0,425.0,long,long,09,25,00
09:48:00,3904.0,529.0,long,long,09,48,00
09:45:00,3329.0,445.0,long,long,09,45,00
10:27:00,4184.0,510.0,long,long,10,27,00
10:58:00,4502.0,570.0,long,long,10,58,00
10:09:00,4243.0,527.0,long,long,10,09,00
10:03:00,3365.0,442.0,long,long,10,03,00
10:12:00,4243.0,543.0,long,long,10,12,00
10:53:00,4502.0,588.0,long,long,10,53,00
10:52:00,4502.0,558.0,long,long,10,52,00
10:57:00,3711.0,503.0,long,long,10,57,00
10:59:00,4502.0,577.0,long,long,10,59,00
10:16:00,4243.0,572.0,long,long,10,16,00
10:07:00,4243.0,553.0,long,long,10,07,00
10:07:00,4243.0,538.0,long,long,10,07,00
10:08:00,4243.0,527.0,long,long,10,08,00
10:56:00,4502.0,603.0,long,long,10,56,00
10:08:00,4243.0,537.0,long,long,10,08,00
10:29:00,3904.0,501.0,long,long,10,29,00
10:15:00,3302.0,450.0,long,long,10,15,00
10:31:00,4502.0,573.0,long,long,10,31,00
10:53:00,3711.0,465.0,long,long,10,53,00
10:30:00,4184.0,508.0,long,long,10,30,00
10:08:00,4243.0,529.0,long,long,10,08,00
10:08:00,4243.0,532.0,long,long,10,08,00
10:57:00,3711.0,464.0,long,long,10,57,00
10:19:00,3904.0,475.0,long,long,10,19,00
10:16:00,4184.0,537.0,long,long,10,16,00
10:10:00,4243.0,565.0,long,long,10,10,00
10:06:00,4983.0,701.0,long,long,10,06,00
10:11:00,4243.0,566.0,long,long,10,11,00
10:50:00,4502.0,579.0,long,long,10,50,00
10:55:00,4502.0,590.0,long,long,10,55,00
10:15:00,4184.0,526.0,long,long,10,15,00
10:12:00,4983.0,647.0,long,long,10,12,00
10:31:00,4502.0,534.0,long,long,10,31,00
10:03:00,4184.0,560.0,long,long,10,03,00
10:58:00,3711.0,484.0,long,long,10,58,00
10:19:00,4243.0,565.0,long,long,10,19,00
10:52:00,3784.0,530.0,long,long,10,52,00
10:01:00,3365.0,438.0,long,long,10,01,00
10:02:00,4243.0,572.0,long,long,10,02,00
10:59:00,3711.0,491.0,long,long,10,59,00
10:53:00,4502.0,558.0,long,long,10,53,00
10:55:00,4502.0,557.0,long,long,10,55,00
10:18:00,4184.0,550.0,long,long,10,18,00
10:07:00,4983.0,679.0,long,long,10,07,00
10:14:00,4243.0,557.0,long,long,10,14,00
10:15:00,4184.0,535.0,long,long,10,15,00
10:05:00,4243.0,564.0,long,long,10,05,00
10:55:00,4502.0,652.0,long,long,10,55,00
10:40:00,4502.0,582.0,long,long,10,40,00
10:00:00,4983.0,664.0,long,long,10,00,00
10:53:00,4502.0,554.0,long,long,10,53,00
10:21:00,4243.0,545.0,long,long,10,21,00
10:17:00,4243.0,541.0,long,long,10,17,00
10:20:00,4184.0,554.0,long,long,10,20,00
10:16:00,4243.0,557.0,long,long,10,16,00
10:49:00,3784.0,497.0,long,long,10,49,00
10:02:00,4983.0,621.0,long,long,10,02,00
10:39:00,4243.0,555.0,long,long,10,39,00
10:54:00,4502.0,540.0,long,long,10,54,00
10:10:00,3711.0,485.0,long,long,10,10,00
10:21:00,4243.0,581.0,long,long,10,21,00
10:18:00,4184.0,565.0,long,long,10,18,00
10:30:00,4243.0,533.0,long,long,10,30,00
10:05:00,3365.0,429.0,long,long,10,05,00
10:34:00,4502.0,548.0,long,long,10,34,00
10:00:00,3711.0,488.0,long,long,10,00,00
10:20:00,4983.0,636.0,long,long,10,20,00
10:54:00,4502.0,592.0,long,long,10,54,00
10:52:00,4502.0,611.0,long,long,10,52,00
10:53:00,4502.0,547.0,long,long,10,53,00
10:02:00,4983.0,654.0,long,long,10,02,00
10:02:00,3904.0,492.0,long,long,10,02,00
10:43:00,4502.0,567.0,long,long,10,43,00
10:02:00,3904.0,472.0,long,long,10,02,00
10:16:00,4243.0,551.0,long,long,10,16,00
10:57:00,4502.0,634.0,long,long,10,57,00
10:57:00,4502.0,597.0,long,long,10,57,00
10:58:00,3365.0,421.0,long,long,10,58,00
10:46:00,3724.0,566.0,long,long,10,46,00
10:19:00,4243.0,523.0,long,long,10,19,00
10:09:00,4243.0,565.0,long,long,10,09,00
10:01:00,4243.0,587.0,long,long,10,01,00
10:20:00,4243.0,532.0,long,long,10,20,00
10:53:00,4502.0,566.0,long,long,10,53,00
10:52:00,4502.0,607.0,long,long,10,52,00
10:20:00,3365.0,453.0,long,long,10,20,00
10:36:00,4502.0,584.0,long,long,10,36,00
10:54:00,4502.0,588.0,long,long,10,54,00
10:07:00,4243.0,605.0,long,long,10,07,00
10:08:00,4243.0,557.0,long,long,10,08,00
10:10:00,4243.0,576.0,long,long,10,10,00
10:15:00,4243.0,572.0,long,long,10,15,00
10:20:00,4184.0,568.0,long,long,10,20,00
10:16:00,3904.0,485.0,long,long,10,16,00
10:01:00,3904.0,475.0,long,long,10,01,00
10:11:00,3904.0,491.0,long,long,10,11,00
10:45:00,3904.0,484.0,long,long,10,45,00
10:48:00,3724.0,516.0,long,long,10,48,00
10:19:00,4243.0,552.0,long,long,10,19,00
10:03:00,4983.0,680.0,long,long,10,03,00
10:57:00,4502.0,612.0,long,long,10,57,00
10:38:00,3365.0,380.0,long,long,10,38,00
10:17:00,4243.0,548.0,long,long,10,17,00
