,op_carrier,avg_arr_delay,avg_dep_delay
0,9E,3.7690803623802385,10.50426904777423
1,9K,-4.423529411764706,-5.235294117647059
2,AA,6.201196440458256,11.015397820831728
3,AS,0.9026238514729563,4.140286066117268
4,AX,16.551242236024844,18.94824016563147
5,B6,11.755900838930701,17.0173450945483
6,C5,23.596807996130906,25.9769466387232
7,CP,5.1963431305536565,9.61038961038961
8,DL,0.21370465915553322,7.5882750492454525
9,EM,4.628937007874016,3.8868110236220472
10,EV,11.425774001367321,14.264869616173455
11,F9,10.722368505555199,16.39297411855372
12,G4,9.176273885350318,11.65891719745223
13,G7,9.739879414298018,15.623887453344818
14,HA,0.6746591443347437,1.0091208274565115
15,KS,17.68243243243243,21.85810810810811
16,MQ,5.978425794215268,8.246878457404772
17,NK,4.586356668369954,9.75583375915517
18,OH,7.195246822003083,11.056113098874247
19,OO,7.245386185846253,11.415465626326535
20,PT,4.513024823781796,7.79190928593319
21,QX,2.0540002744613695,3.756415534513517
22,UA,7.104309443605529,11.54501103496341
23,VX,0.2042711234911792,4.836583101207057
24,WN,3.5878731197880134,10.624485171130015
25,YV,9.225048341514205,12.053287222965938
26,YX,4.183949549916086,8.14517113360118
27,ZW,7.073622508792497,10.979757717858538
