op_unique_carrier,month,sumOfDelays
QX,7,4.956583428
QX,8,21.83415127
QX,9,8.70585734
QX,10,16.32698364
QX,11,17.7801005
QX,12,26.33207297
UA,1,23.11187587
UA,2,25.74228084
UA,3,22.85037361
UA,4,26.48247562
UA,5,40.63195118
UA,6,50.44782876
UA,7,48.68736707
UA,8,50.8808435
UA,9,25.75262566
UA,10,20.61267727
UA,11,26.25802181
UA,12,29.37038154
VX,1,8.052622378
VX,2,10.19522736
VX,3,34.3885653
WN,1,14.1791644
WN,2,28.00201
WN,3,21.34779272
WN,4,25.99594803
WN,5,31.61425747
WN,6,32.39468402
WN,7,31.0852641
WN,8,24.46893476
WN,9,10.7121824
WN,10,15.93542972
WN,11,16.26116303
WN,12,25.94324501
YV,1,25.99163105
YV,2,40.69676134
YV,3,21.41029092
YV,4,24.46019829
YV,5,35.04244124
YV,6,48.16155127
YV,7,40.4331223
YV,8,44.70555944
YV,9,36.80562572
YV,10,47.28455222
YV,11,30.29565358
YV,12,47.72283582
YX,1,28.71511628
YX,2,20.06686859
YX,3,14.68029637
YX,4,23.68768172
YX,5,24.02985585
YX,6,36.76700852
YX,7,32.4927531
YX,8,35.00754295
YX,9,13.9151254
YX,10,18.17835769
YX,11,14.85450228
YX,12,24.1624945
ZW,1,46.34788457
ZW,2,50.40963777
ZW,3,13.53048539
ZW,4,21.27441499
ZW,5,52.43759234
ZW,6,67.09701242
ZW,7,44.53617116
ZW,8,39.65840728
ZW,9,28.16141847
ZW,10,5.650450148
ZW,11,26.80438075
ZW,12,20.65425875
